,Country,Region_x,Population (millions),HDI,GDP per Capita,Total Ecological Footprint,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Region_y,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity
115,Suriname,Latin America,0.54,0.71,"$8,190.70",4.25,89.33,85.08,2.46,0.05,Latin America and Caribbean,40,6.269,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.12692,0.16665
116,Sweden,European Union,9.51,0.9,"$59,381.90",7.25,10.62,3.38,4.19,0.68,Western Europe,10,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254
117,Switzerland,Northern/Eastern Europe,8.0,0.93,"$88,506.20",5.79,1.3,-4.48,3.34,4.44,Western Europe,2,7.5089999999999995,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083
118,Syria,Middle East/Central Asia,21.89,0.62,,1.51,0.6,-0.91,0.87,2.5,Middle East and Northern Africa,156,3.069,0.7471899999999999,0.14866,0.6299399999999999,0.06912,0.17232999999999998,0.48396999999999996
119,Tajikistan,Middle East/Central Asia,8.01,0.62,$836.17,0.91,0.53,-0.38,0.52,1.71,Central and Eastern Europe,100,4.996,0.48835,0.75602,0.5311899999999999,0.43408,0.13509000000000002,0.25998000000000004
120,Tanzania,Africa,47.78,0.51,$765.33,1.32,1.08,-0.24,0.76,1.23,Sub-Saharan Africa,149,3.6660000000000004,0.47155,0.77623,0.35700000000000004,0.3176,0.05099,0.31472
121,Thailand,Asia-Pacific,66.78,0.72,"$5,479.29",2.66,1.24,-1.42,1.54,2.14,Southeastern Asia,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696
122,Togo,Africa,6.64,0.47,$580.86,1.13,0.53,-0.6,0.65,2.13,Sub-Saharan Africa,155,3.303,0.28123000000000004,0.0,0.24811,0.34678000000000003,0.11587,0.17517
123,Trinidad and Tobago,Latin America,1.34,0.77,"$18,310.80",7.92,1.56,-6.36,4.57,5.07,Latin America and Caribbean,43,6.167999999999999,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935
124,Tunisia,Africa,10.88,0.72,"$4,305.07",2.34,0.93,-1.4,1.35,2.51,Middle East and Northern Africa,98,5.045,0.97724,0.43165,0.59577,0.23553000000000002,0.0817,0.03936
125,Turkey,Middle East/Central Asia,74.0,0.76,"$10,437.70",3.33,1.52,-1.81,1.92,2.19,Middle East and Northern Africa,78,5.388999999999999,1.1649200000000002,0.8771700000000001,0.64718,0.23889000000000002,0.12347999999999999,0.04707
126,Turkmenistan,Middle East/Central Asia,5.17,0.68,"$5,290.14",5.47,2.79,-2.68,3.16,1.96,Central and Eastern Europe,65,5.6579999999999995,1.08017,1.03817,0.44006000000000006,0.37408,0.28467,0.22566999999999998
127,Uganda,Africa,36.35,0.48,$601.35,1.24,0.59,-0.66,0.72,2.12,Sub-Saharan Africa,145,3.739,0.34719,0.90981,0.19625,0.43653000000000003,0.06442,0.27102
128,Ukraine,Northern/Eastern Europe,45.53,0.74,"$3,589.63",2.84,2.27,-0.58,1.64,1.25,Central and Eastern Europe,123,4.324,0.87287,1.01413,0.58628,0.12859,0.01829,0.20363
129,United Kingdom,European Union,63.03,0.9,"$40,980.50",4.94,1.32,-3.62,2.85,3.76,Western Europe,23,6.725,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156
130,United Arab Emirates,Middle East/Central Asia,9.206,0.83,"$40,817.40",7.93,0.56,-7.37,4.58,14.160714285714299,Middle East and Northern Africa,28,6.5729999999999995,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591
131,United States,North America,317.5,0.91,"$49,725.00",8.22,3.76,-4.46,4.75,2.19,North America,13,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997
132,Uruguay,Latin America,3.4,0.79,"$14,238.10",2.91,10.32,7.41,1.68,0.28,Latin America and Caribbean,29,6.545,1.18157,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056
133,Uzbekistan,Middle East/Central Asia,28.54,0.67,"$1,560.85",2.32,0.92,-1.4,1.34,2.52,Central and Eastern Europe,49,5.987,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326
134,Venezuela,Latin America,29.96,0.763846,"$10,237.80",3.57,2.78,-0.79,2.06,1.28,Latin America and Caribbean,44,6.084,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425
135,Yemen,Middle East/Central Asia,23.85,0.5,"$1,302.30",1.03,0.5,-0.53,0.59,2.06,Middle East and Northern Africa,147,3.7239999999999998,0.57939,0.47493,0.31048000000000003,0.2287,0.05892000000000001,0.09821
136,Zambia,Africa,14.08,0.58,"$1,740.64",0.99,2.23,1.24,0.57,0.44,Sub-Saharan Africa,106,4.795,0.61202,0.6376,0.23573000000000002,0.42662,0.11479,0.17865999999999999
137,Zimbabwe,Africa,13.72,0.49,$865.91,1.37,0.62,-0.75,0.79,2.2,Sub-Saharan Africa,131,4.1930000000000005,0.35041,0.71478,0.1595,0.25429,0.08582000000000001,0.18503
